School_Name,School_ID,Unit,Network,Grade,Year,ReadME,MathME,CompME,ReadEXC,MathEXC,CompEXC,ReadMEET,MathMEET,CompMEET,ReadBLW,MathBLW,CompBLW,ReadWRN,MathWRN,CompWRN,ReadTST,MathTST
CATALYST CHTR - HOWLAND,400020,4370,Charter,3rd Grade,2010,69.2,84.6,76.9,11.5,19.2,15.4,57.7,65.4,61.5,30.8,7.7,19.2,0.0,7.7,3.8,26,26
CATALYST CHTR - HOWLAND,400020,4370,Charter,4th Grade,2010,68.8,71.9,63.5,0.0,0.0,0.0,68.8,71.9,63.5,31.3,28.1,36.5,0.0,0.0,0.0,32,32
CATALYST CHTR - HOWLAND,400020,4370,Charter,5th Grade,2010,61.5,65.4,63.5,11.5,1.9,6.7,50.0,63.5,56.7,38.5,34.6,36.5,0.0,0.0,0.0,52,52
CATALYST CHTR - HOWLAND,400020,4370,Charter,6th Grade,2010,62.0,38.0,50.0,6.0,0.0,3.0,56.0,38.0,47.0,38.0,56.0,47.0,0.0,6.0,3.0,50,50
CATALYST CHTR - HOWLAND,400020,4370,Charter,7th Grade,2010,62.2,57.8,58.5,4.4,4.4,3.0,57.8,53.3,55.6,37.8,33.3,33.3,0.0,8.9,8.1,45,45
CATALYST CHTR - HOWLAND,400020,4370,Charter,8th Grade,2010,74.5,46.8,60.6,0.0,0.0,0.0,74.5,46.8,60.6,25.5,51.1,38.3,0.0,2.1,1.1,47,47
CATALYST CHTR - HOWLAND,400020,4370,Charter,3rd Grade,2011,51.7,53.4,52.6,6.9,12.1,9.5,44.8,41.4,43.1,29.3,36.2,32.8,19.0,10.3,14.7,58,58
CATALYST CHTR - HOWLAND,400020,4370,Charter,4th Grade,2011,45.5,70.5,54.5,2.3,6.8,3.0,43.2,63.6,51.5,54.5,29.5,41.7,0.0,0.0,3.8,44,44
CATALYST CHTR - HOWLAND,400020,4370,Charter,5th Grade,2011,47.4,61.4,54.4,3.5,3.5,3.5,43.9,57.9,50.9,52.6,36.8,44.7,0.0,1.8,0.9,57,57
CATALYST CHTR - HOWLAND,400020,4370,Charter,6th Grade,2011,65.5,36.2,50.9,1.7,0.0,0.9,63.8,36.2,50.0,32.8,60.3,46.6,1.7,3.4,2.6,58,58
CATALYST CHTR - HOWLAND,400020,4370,Charter,7th Grade,2011,55.9,69.5,59.9,6.8,6.8,4.5,49.2,62.7,55.4,44.1,28.8,30.5,0.0,1.7,9.6,59,59
CATALYST CHTR - HOWLAND,400020,4370,Charter,8th Grade,2011,66.7,72.1,69.4,1.7,4.9,3.3,65.0,67.2,66.1,33.3,27.9,30.6,0.0,0.0,0.0,60,61
CATALYST CHTR - HOWLAND,400020,4370,Charter,3rd Grade,2012,33.3,51.9,42.6,1.9,1.9,1.9,31.5,50.0,40.7,50.0,29.6,39.8,16.7,18.5,17.6,54,54
CATALYST CHTR - HOWLAND,400020,4370,Charter,4th Grade,2012,41.1,48.2,42.3,1.8,1.8,1.8,39.3,46.4,40.5,55.4,50.0,50.6,3.6,1.8,7.1,56,56
CATALYST CHTR - HOWLAND,400020,4370,Charter,5th Grade,2012,59.2,80.0,66.2,12.2,8.0,10.8,46.9,72.0,55.4,40.8,20.0,33.8,0.0,0.0,0.0,49,25
CATALYST CHTR - HOWLAND,400020,4370,Charter,6th Grade,2012,56.7,50.0,53.3,5.0,0.0,2.5,51.7,50.0,50.8,43.3,50.0,46.7,0.0,0.0,0.0,60,60
CATALYST CHTR - HOWLAND,400020,4370,Charter,7th Grade,2012,61.7,68.3,56.7,1.7,1.7,1.1,60.0,66.7,55.6,36.7,30.0,33.3,1.7,1.7,10.0,60,60
CATALYST CHTR - HOWLAND,400020,4370,Charter,8th Grade,2012,78.0,67.8,72.9,0.0,10.2,5.1,78.0,57.6,67.8,18.6,32.2,25.4,3.4,0.0,1.7,59,59
CATALYST CHTR - HOWLAND,400020,4370,Charter,3rd Grade,2013,16.7,9.3,13.0,0.0,0.0,0.0,16.7,9.3,13.0,63.0,61.1,62.0,20.4,29.6,25.0,54,54
CATALYST CHTR - HOWLAND,400020,4370,Charter,4th Grade,2013,13.2,22.6,27.2,0.0,0.0,0.0,13.2,22.6,27.2,67.9,60.4,57.0,18.9,17.0,15.8,53,53
CATALYST CHTR - HOWLAND,400020,4370,Charter,5th Grade,2013,17.2,19.0,18.1,1.7,0.0,0.9,15.5,19.0,17.2,58.6,53.4,56.0,24.1,27.6,25.9,58,58
CATALYST CHTR - HOWLAND,400020,4370,Charter,6th Grade,2013,43.1,47.1,45.1,5.9,9.8,7.8,37.3,37.3,37.3,47.1,43.1,45.1,9.8,9.8,9.8,51,51
CATALYST CHTR - HOWLAND,400020,4370,Charter,7th Grade,2013,33.9,23.2,31.0,1.8,0.0,1.2,32.1,23.2,29.8,60.7,64.3,57.1,5.4,12.5,11.9,56,56
CATALYST CHTR - HOWLAND,400020,4370,Charter,8th Grade,2013,28.3,20.3,24.4,3.3,0.0,1.7,25.0,20.3,22.7,65.0,67.8,66.4,6.7,11.9,9.2,60,59
CATALYST CHTR - HOWLAND,400020,4370,Charter,3rd Grade,2014,17.6,5.7,11.5,0.0,0.0,0.0,17.6,5.7,11.5,58.8,73.6,66.3,23.5,20.8,22.1,51,53
CATALYST CHTR - HOWLAND,400020,4370,Charter,4th Grade,2014,17.4,25.5,26.6,0.0,0.0,0.0,17.4,25.5,26.6,69.6,51.1,52.5,13.0,23.4,20.9,46,47
CATALYST CHTR - HOWLAND,400020,4370,Charter,5th Grade,2014,21.6,21.6,21.6,0.0,0.0,0.0,21.6,21.6,21.6,62.2,59.5,60.8,16.2,18.9,17.6,37,37
CATALYST CHTR - HOWLAND,400020,4370,Charter,6th Grade,2014,20.5,6.8,13.6,0.0,0.0,0.0,20.5,6.8,13.6,65.9,63.6,64.8,13.6,29.5,21.6,44,44
CATALYST CHTR - HOWLAND,400020,4370,Charter,7th Grade,2014,42.3,34.6,42.9,3.8,1.9,3.2,38.5,32.7,39.7,44.2,55.8,42.9,13.5,9.6,14.1,52,52
CATALYST CHTR - HOWLAND,400020,4370,Charter,8th Grade,2014,17.9,12.5,15.2,0.0,0.0,0.0,17.9,12.5,15.2,75.0,71.4,73.2,7.1,16.1,11.6,56,56
